"QueryId","SessionId","Username","QueryTime","Query","AnswerSource"
"6B19AC3C-AAE6-4B4C-ADA4-E6D1E3994242","35B7DA29-1B03-D065-A5BC-25806162A08E","asraghav","2017-08-26T04:44:44.650","dogs being carnivorous animal","IS"
"0830533F-C26B-49B0-9C5B-58C047D15008","35B7DA29-1B03-D065-A5BC-25806162A08E","asraghav","2017-08-25T04:48:46.217","what is cat and dogs being carnivorous animal","DB"
"10DA50E3-5260-4A72-BEEA-7522A2E75387","35B7DA29-1B03-D065-A5BC-25806162A08E","asraghav","2017-09-25T04:49:43.413","what is cat  dog","DB"
"67F58EA5-B4B3-4072-BEE1-8BDA37FB3FDE","74D0D201-7D52-996A-298A-48FA2AC41E90","asraghav","2017-10-25T05:06:26.387","dog eat green","DB"
"D872283F-8A9E-414E-97A7-0DC758B7A542","35B7DA29-1B03-D065-A5BC-25806162A08E","asraghav","2017-09-25T04:47:57.363","what is cat","DB"
"4B397E9A-0C6C-489A-8856-598479850061","35B7DA29-1B03-D065-A5BC-25806162A08E","asraghav","2017-09-25T04:47:57.363","what is dog","DB"
"73974926-C645-455C-AFB9-359E2BD60517","74D0D201-7D52-996A-298A-48FA2AC41E90","asraghav","2017-09-25T05:04:59.383","canj dog eat egg","DB"
"5C0666AB-C254-4064-AC00-61BF0C76E8B1","74D0D201-7D52-996A-298A-48FA2AC41E90","asraghav","2017-09-25T05:06:07.227","can I eat egg","DB"
"EDC9F3E0-D990-43DD-B104-5651C0060BD0","B08445D9-E2EE-D442-97C4-70B9BFBE41B1","asraghav","2017-09-25T05:29:33.377","what is catfish","OOS"
"2395ABB1-23C8-4600-8D71-910B64DEC657","6A3A1861-CB30-3CD5-1FE1-EB8746ADE3BD","asraghav","2017-09-25T05:30:52.007","what is catfish","OOS"
"8FCCB9C5-7E98-45B2-AD2E-638C5391CA55","6A3A1861-CB30-3CD5-1FE1-EB8746ADE3BD","asraghav","2017-08-25T05:33:23.203","what is catfish","IS"
"ADEC64C9-A41E-4F0A-9870-470DFA63A06B","6A3A1861-CB30-3CD5-1FE1-EB8746ADE3BD","asraghav","2017-08-25T05:34:08.430","do dogs loves csta","DB"
"1599EF3B-657F-4DA3-BC6E-BA9CEE1764BA","D564AA3D-91B1-B6B8-F24F-835794EC4BAE","ukeshri","2017-08-25T04:42:21.340","dogs being carnivorous animal","OOS"
"D2D334E3-F1A5-48DF-9C47-98B71BB97DFA","74D0D201-7D52-996A-298A-48FA2AC41E90","asraghav","2017-08-25T05:06:39.057","is it possible dog love cat","DB"
"1CBFAE3E-53C2-4F22-BF28-E2DBF52DEF5D","74D0D201-7D52-996A-298A-48FA2AC41E90","asraghav","2017-08-25T05:07:16.037","Do cats come out of eggs?","DB"
