QueryId,SessionId,Username,QueryTime,Query,AnswerSource
6B19AC3C-AAE6-4B4C-ADA4-E6D1E3994242,35B7DA29-1B03-D065-A5BC-25806162A08E,asraghav,2017-02-14T04:33:35.487,dogs being carnivorous animal,IS
0830533F-C26B-49B0-9C5B-58C047D15008,35B7DA29-1B03-D065-A5BC-25806162A08E,asraghav,2017-06-29T12:41:01.487,what is cat and dogs being carnivorous animal,DB
10DA50E3-5260-4A72-BEEA-7522A2E75387,35B7DA29-1B03-D065-A5BC-25806162A08E,asraghav,2017-07-18T03:53:59.487,what is cat  dog,DB
67F58EA5-B4B3-4072-BEE1-8BDA37FB3FDE,74D0D201-7D52-996A-298A-48FA2AC41E90,asraghav,2017-03-17T12:41:45.487,dog eat green,DB
FFFC03EB-8BD5-43C1-B72B-343701F1CAE1,272DB6B8-F51E-49A1-A40F-8BBCA997513A,ukeshri,2017-07-27T21:40:18.487,dogs being carnivorous animal,IS
8C3512A8-48DE-4660-86F4-DAAAD5F3E2DF,C03156B7-2737-40DF-99F6-0A7CBBD09084,ukeshri,2016-03-24T00:08:38.487,what is cat and dogs being carnivorous animal,DB
B18299AC-4691-4ACF-B65B-ED49E1080070,39A7E99F-EB88-476A-BD8B-C09F54A9A469,ukeshri,2017-05-26T22:49:26.487,what is cat  dog,DB
51103DEE-A9A7-416C-9317-61ED1569FF0A,443F8959-42BB-426E-9C80-124BE196740F,ukeshri,2016-05-24T02:39:50.487,dog eat green,DB
E59465AD-D38B-4B7B-B10B-C55F14DA75C3,DCAE06C1-063C-4AD7-9AA3-51BE0E364355,ukeshri,2017-08-25T00:51:06.487,what is cat,DB
F2F7FA41-832B-4177-BF7A-1CA96441D383,F560DC96-2EAD-49D9-8660-1384B8C223AE,ukeshri,2016-11-30T20:49:11.487,what is dog,DB
AA86C214-F272-4983-9B71-67917B11EE84,06B36980-C519-498E-ADFF-B0F957C737F2,ukeshri,2017-02-10T11:59:16.487,canj dog eat egg,DB
42EC2450-9428-4BA8-AF87-AD609EFC7BCD,D3C29156-6492-4D1C-813B-63BC374E2168,ukeshri,2016-04-04T23:38:24.487,can I eat egg,DB
2D96A4FA-2297-4510-849F-FD96B06550E5,1739DB8C-CEED-43EB-87A2-FC7EFAB2D7D9,ukeshri,2016-06-24T06:26:38.487,what is catfish,OOS
D13127B5-D8FB-4C50-8D20-BB53C9EC5B67,1314612F-52CB-4891-B3CD-A428098A07B6,ukeshri,2017-04-20T21:25:54.487,what is catfish,OOS
C5F47977-E27E-4D6F-839D-1A659E4E0EB8,CAEEA7B5-7881-47A9-93F2-9348C7A2D641,ukeshri,2016-01-31T03:05:46.487,what is catfish,IS
AA56C1C8-5F8E-40D2-A1ED-1C2A9555B3AA,A919BAC8-BDA4-458D-8CD3-B6D421F8BF16,ukeshri,2016-08-22T06:08:38.487,do dogs loves csta,DB
733FCF16-C98B-4D19-90FC-400EE1911325,38285D78-7E78-418D-92C6-5337ABE67BE7,ukeshri,2017-07-13T23:42:42.487,dogs being carnivorous animal,OOS
47D416D9-5352-4500-81B2-484F330EC590,6531AECA-1E4F-48DC-820A-9E18CFD6B0AB,ukeshri,2017-03-08T03:38:09.487,is it possible dog love cat,DB
A71F2752-A2A8-4449-ABE8-39FD98998D64,0D138027-56DE-4CBD-B21C-C92CF4769002,ukeshri,2017-02-05T15:49:40.487,Do cats come out of eggs?,DB
3975A88C-2D52-4CB3-94F0-67E27195E603,3D44C2B0-5B6E-47C6-AC74-0DE0C42E2642,aoberai,2016-12-10T21:51:07.487,dogs being carnivorous animal,IS
